Bay, Year, Day1Age0, Day1Age1, Day1Age2, LDayAge0, LDayAge1, LDayAge2, 
Corpus, 1986, 260,  , 141, 309,  , 141, 
Corpus, 1987, 160, 126,  , 287, 287,  , 
Corpus, 1988, 272, 124,  , 315, 272,  , 
Corpus, 1989,  , 144,  ,  , 144,  , 
Corpus, 1990, 256,  ,  , 303,  ,  , 
Corpus, 1991, 171,  ,  , 171,  ,  , 
Corpus, 1992, 275,  ,  , 275,  ,  , 
Corpus, 1993, 139,  ,  , 306,  ,  , 
Corpus, 1994, 151,  ,  , 270,  ,  , 
Corpus, 1995, 152, 319,  , 278, 319,  , 
Corpus, 1996, 268, 289,  , 283, 289,  , 
Corpus, 1997, 168,  , 168, 259,  , 168, 
Corpus, 1999, 258,  ,  , 308,  ,  , 
Corpus, 2000, 258,  ,  , 315,  ,  , 
Corpus, 2001, 254,  ,  , 303,  ,  , 
Corpus, 2002, 263, 137,  , 275, 137,  , 
Corpus, 2003, 140, 140,  , 316, 140,  , 
Corpus, 2004, 147, 133,  , 321, 287,  , 
Corpus, 2005, 152,  ,  , 284,  ,  , 
Corpus, 2006, 264, 276,  , 283, 283,  , 
Corpus, 2007, 158,  ,  , 303,  ,  , 
Corpus, 2008, 134, 127, 134, 316, 324, 134, 
Corpus, 2009, 155, 104,  , 315, 315,  , 
Corpus, 2010, 264,  , 139, 314,  , 139, 
Corpus, 2011, 166, 137,  , 257, 137,  , 
Corpus, 2012, 263, 304,  , 304, 304,  , 
Corpus, 2013, 135, 135,  , 302, 267,  , 
Corpus, 2014, 258, 106, 148, 308, 148, 148, 
Corpus, 2015, 274, 274,  , 300, 274,  , 
Corpus, 2016, 138, 161,  , 307, 321,  , 
Corpus, 2017, 122,  ,  , 310,  ,  , 
Corpus, 2018, 158, 256,  , 296, 298,  , 
Corpus, 2019, 161, 112,  , 303, 302,  , 
Corpus, 2020, 260, 260,  , 322, 280,  , 
Corpus, 2021, 167, 264, 161, 306, 299, 161, 
Aransas, 1982, 162,  ,  , 259,  ,  , 
Aransas, 1983, 145,  ,  , 166,  ,  , 
Aransas, 1984, 157,  ,  , 157,  ,  , 
Aransas, 1985, 253,  ,  , 253,  ,  , 
Aransas, 1986, 301,  ,  , 302,  ,  , 
Aransas, 1988, 145,  ,  , 145,  ,  , 
Aransas, 1990, 143,  ,  , 256,  ,  , 
Aransas, 1996, 297, 163,  , 297, 163,  , 
Aransas, 1998, 148,  ,  , 148,  ,  , 
Aransas, 2001, 254,  ,  , 254,  ,  , 
Aransas, 2008, 295,  ,  , 295,  ,  , 
Aransas, 2009, 274,  ,  , 274,  ,  , 
Aransas, 2011, 256,  ,  , 256,  ,  , 
Aransas, 2012, 262,  , 138, 262,  , 138, 
Aransas, 2013, 275,  ,  , 289,  ,  , 
Aransas, 2014, 267, 119, 126, 301, 149, 126, 
Aransas, 2016, 145,  ,  , 145,  ,  , 
Aransas, 2018,  , 124,  ,  , 275,  , 
Aransas, 2019, 157,  , 157, 291,  , 157, 
Aransas, 2020, 269,  ,  , 301,  ,  , 
Aransas, 2021, 131, 153,  , 153, 153,  , 
Matagorda, 1984, 131,  , 153, 153,  , 153, 
Matagorda, 1985,  , 128,  ,  , 128,  , 
Matagorda, 1986, 149,  , 156, 293,  , 156, 
Matagorda, 1987, 133,  ,  , 258,  ,  , 
Matagorda, 1988, 125, 154,  , 320, 320,  , 
Matagorda, 1989, 109, 122, 151, 318, 318, 164, 
Matagorda, 1990, 163, 254, 135, 276, 254, 135, 
Matagorda, 1991, 141, 163,  , 149, 163,  , 
Matagorda, 1992, 134,  ,  , 163,  ,  , 
Matagorda, 1993, 146,  , 146, 279,  , 146, 
Matagorda, 1994, 158,  ,  , 159,  ,  , 
Matagorda, 1995, 137,  ,  , 137,  ,  , 
Matagorda, 1997, 162,  ,  , 162,  ,  , 
Matagorda, 1998, 153,  ,  , 286,  ,  , 
Matagorda, 1999, 139,  ,  , 300,  ,  , 
Matagorda, 2000, 123, 123, 130, 292, 159, 130, 
Matagorda, 2001, 135,  , 135, 255,  , 135, 
Matagorda, 2002, 141,  , 141, 156,  , 148, 
Matagorda, 2003, 140, 259, 119, 273, 259, 162, 
Matagorda, 2004, 132, 154, 132, 265, 265, 162, 
Matagorda, 2005, 271,  , 159, 271,  , 159, 
Matagorda, 2006, 144, 108,  , 276, 270,  , 
Matagorda, 2007, 163, 164, 164, 311, 164, 164, 
Matagorda, 2008, 120, 274, 107, 309, 274, 169, 
Matagorda, 2009, 132, 294, 119, 272, 294, 140, 
Matagorda, 2010, 138,  , 117, 153,  , 153, 
Matagorda, 2011, 137, 102, 110, 284, 278, 165, 
Matagorda, 2012, 255, 255, 144, 269, 262, 144, 
Matagorda, 2013, 128, 113, 106, 316, 288, 163, 
Matagorda, 2014, 149, 106, 106, 303, 301, 169, 
Matagorda, 2015, 265,  , 104, 287,  , 104, 
Matagorda, 2016, 299,  ,  , 299,  ,  , 
Matagorda, 2017, 123, 123, 123, 311, 311, 123, 
Matagorda, 2018, 115, 114, 121, 282, 282, 129, 
Matagorda, 2019, 169, 267, 169, 275, 267, 169, 
Matagorda, 2020, 259, 315,  , 316, 315,  , 
Matagorda, 2021, 118, 131, 118, 306, 293, 131, 
Upper Laguna, 1987, 155,  ,  , 155,  ,  , 
Upper Laguna, 1997, 294,  ,  , 294,  ,  , 
Upper Laguna, 2008, 274,  ,  , 295,  ,  , 
Upper Laguna, 2014, 273,  ,  , 273,  ,  , 
Upper Laguna, 2015, 294,  ,  , 294,  ,  , 
Upper Laguna, 2017, 304,  ,  , 304,  ,  , 
Upper Laguna, 2021, 299,  ,  , 299,  ,  , 
Sabine, 2010, 145,  ,  , 145,  ,  , 
Sabine, 2011, 152,  ,  , 152,  ,  , 
